id	start	end	kind	name	confidence	source	summary
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40811915:4081299A	40811915	4081299A	data_region	string_cluster 40811915	0.7	stackimport	string_cluster
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408125B4:408125DD	408125B4	408125DD	data_region	string_cluster 408125B4	0.7	stackimport	string_cluster
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408126E9:40812840	408126E9	40812840	data_region	string_cluster 408126E9	0.7	stackimport	string_cluster
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081294D:40812A88	4081294D	40812A88	data_region	string_cluster 4081294D	0.7	stackimport	string_cluster
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40812AC5:408133DE	40812AC5	408133DE	data_region	string_cluster 40812AC5	0.7	stackimport	string_cluster
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40812CDC:408135F0	40812CDC	408135F0	data_region	string_cluster 40812CDC	0.7	stackimport	string_cluster
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40813606:40813B10	40813606	40813B10	data_region	string_cluster 40813606	0.7	stackimport	string_cluster
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408136F8:40814074	408136F8	40814074	data_region	string_cluster 408136F8	0.7	stackimport	string_cluster
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40813EFC	40813EFC		function_candidate	fn40813EFC		rom_structure_analysis	
function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40813EFC	40813EFC		function_candidate	fn40813EFC		rom_structure_analysis	
function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40814030	40814030		function_candidate	label40814030	0.95	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081429C:408149D8	4081429C	408149D8	data_region	string_cluster 4081429C	0.7	stackimport	string_cluster
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40814B02:408168F5	40814B02	408168F5	data_region	string_cluster 40814B02	0.7	stackimport	string_cluster
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408152B9:408153B0	408152B9	408153B0	data_region	string_cluster 408152B9	0.7	stackimport	string_cluster
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40815557:40815869	40815557	40815869	data_region	string_cluster 40815557	0.7	stackimport	string_cluster
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40815790:boot	40815790		resource_marker	boot marker 40815790		rom_structure_analysis	<hdwra..Ba... <boot`..4 8..Nu/0......NuH... <slepa...!......\ x
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40815984:40816F51	40815984	40816F51	data_region	string_cluster 40815984	0.7	stackimport	string_cluster
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40815ACA	40815ACA		function_candidate	fn40815ACA		rom_structure_analysis	
function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40815ACA	40815ACA		function_candidate	fn40815ACA		rom_structure_analysis	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40816A2C:408177B0	40816A2C	408177B0	data_region	string_cluster 40816A2C	0.7	stackimport	string_cluster
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40817081:40817E15	40817081	40817E15	data_region	string_cluster 40817081	0.7	stackimport	string_cluster
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408172F8	408172F8		function_candidate	fn408172F8		rom_structure_analysis	
function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408172F8	408172F8		function_candidate	fn408172F8		rom_structure_analysis	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40817AE4:4081844F	40817AE4	4081844F	data_region	string_cluster 40817AE4	0.7	stackimport	string_cluster
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408180A5:40818188	408180A5	40818188	data_region	string_cluster 408180A5	0.7	stackimport	string_cluster
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408182D0:408187C6	408182D0	408187C6	data_region	string_cluster 408182D0	0.7	stackimport	string_cluster
