id	start	end	kind	name	items	confidence	source	evidence
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408278BC:4082796F	408278BC	4082796F	string_cluster	string_cluster 408278BC	3	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40827DC1:40827EC1	40827DC1	40827EC1	string_cluster	string_cluster 40827DC1	3	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40828D09:4082982D	40828D09	4082982D	string_cluster	string_cluster 40828D09	53	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408298D5:40829A65	408298D5	40829A65	string_cluster	string_cluster 408298D5	4	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4082997D:4082AFF4	4082997D	4082AFF4	string_cluster	string_cluster 4082997D	108	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40829E21:40829EE6	40829E21	40829EE6	string_cluster	string_cluster 40829E21	3	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4082A1E4:4082A4AE	4082A1E4	4082A4AE	string_cluster	string_cluster 4082A1E4	6	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4082A764:4082AAE6	4082A764	4082AAE6	string_cluster	string_cluster 4082A764	7	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4082B143:4082D51B	4082B143	4082D51B	string_cluster	string_cluster 4082B143	231	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4082B4A4:4082B966	4082B4A4	4082B966	string_cluster	string_cluster 4082B4A4	7	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4082BE49:4082BF2A	4082BE49	4082BF2A	string_cluster	string_cluster 4082BE49	4	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4082C33C:4082C440	4082C33C	4082C440	string_cluster	string_cluster 4082C33C	4	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4082C5C0:4082C6CA	4082C5C0	4082C6CA	string_cluster	string_cluster 4082C5C0	5	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4082C82E:4082C852	4082C82E	4082C852	string_cluster	string_cluster 4082C82E	3	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4082C9F1:4082CBC3	4082C9F1	4082CBC3	string_cluster	string_cluster 4082C9F1	5	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4082D1B4:4082D26E	4082D1B4	4082D26E	string_cluster	string_cluster 4082D1B4	3	0.7	stackimport	
