id	address	kind	resource_type	resource_id	name	media_type	output_file	confidence	source
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4097A534:PACK	4097A534	resource_marker	PACK		PACK marker 4097A534				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4097AA90:PACK	4097AA90	resource_marker	PACK		PACK marker 4097AA90				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4097AAB2:PACK	4097AAB2	resource_marker	PACK		PACK marker 4097AAB2				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4097AC00:DRVR	4097AC00	resource_marker	DRVR		DRVR marker 4097AC00				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4097B062:DRVR	4097B062	resource_marker	DRVR		DRVR marker 4097B062				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4097B2A0:DRVR	4097B2A0	resource_marker	DRVR		DRVR marker 4097B2A0				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4097B2EE:DRVR	4097B2EE	resource_marker	DRVR		DRVR marker 4097B2EE				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40980E80:PACK	40980E80	resource_marker	PACK		PACK marker 40980E80				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40981BA5:PACK	40981BA5	resource_marker	PACK		PACK marker 40981BA5				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:409839FE:STR#	409839FE	resource_marker	STR#		STR# marker 409839FE				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40983EB1:PACK	40983EB1	resource_marker	PACK		PACK marker 40983EB1				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40984E71:PACK	40984E71	resource_marker	PACK		PACK marker 40984E71				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40985430:PACK	40985430	resource_marker	PACK		PACK marker 40985430				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40986CE2:PACK	40986CE2	resource_marker	PACK		PACK marker 40986CE2				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4098A1C0:PACK	4098A1C0	resource_marker	PACK		PACK marker 4098A1C0				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4098CBE0:DRVR	4098CBE0	resource_marker	DRVR		DRVR marker 4098CBE0				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4098CF18:DRVR	4098CF18	resource_marker	DRVR		DRVR marker 4098CF18				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4098CF86:DRVR	4098CF86	resource_marker	DRVR		DRVR marker 4098CF86				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4098D450:DRVR	4098D450	resource_marker	DRVR		DRVR marker 4098D450				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40991240:DRVR	40991240	resource_marker	DRVR		DRVR marker 40991240				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40991610:DRVR	40991610	resource_marker	DRVR		DRVR marker 40991610				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4099163E:ptch	4099163E	resource_marker	ptch		ptch marker 4099163E				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40992408:boot	40992408	resource_marker	boot		boot marker 40992408				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40993FA8:boot	40993FA8	resource_marker	boot		boot marker 40993FA8				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40994EE3:boot	40994EE3	resource_marker	boot		boot marker 40994EE3				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4099878D:DRVR	4099878D	resource_marker	DRVR		DRVR marker 4099878D				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:409987E1:DRVR	409987E1	resource_marker	DRVR		DRVR marker 409987E1				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:409987FD:DRVR	409987FD	resource_marker	DRVR		DRVR marker 409987FD				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4099890F:DRVR	4099890F	resource_marker	DRVR		DRVR marker 4099890F				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:409989C7:DRVR	409989C7	resource_marker	DRVR		DRVR marker 409989C7				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40998C40:DRVR	40998C40	resource_marker	DRVR		DRVR marker 40998C40				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4099B65E:STR	4099B65E	resource_marker	STR		STR  marker 4099B65E				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4099C380:boot	4099C380	resource_marker	boot		boot marker 4099C380				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4099C468:ptch	4099C468	resource_marker	ptch		ptch marker 4099C468				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4099C4EC:STR	4099C4EC	resource_marker	STR		STR  marker 4099C4EC				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4099CFB0:DRVR	4099CFB0	resource_marker	DRVR		DRVR marker 4099CFB0				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4099D068:boot	4099D068	resource_marker	boot		boot marker 4099D068				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4099F1E8:ptch	4099F1E8	resource_marker	ptch		ptch marker 4099F1E8				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:409A013A:DRVR	409A013A	resource_marker	DRVR		DRVR marker 409A013A				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:409A017A:DRVR	409A017A	resource_marker	DRVR		DRVR marker 409A017A				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:409A0DF2:boot	409A0DF2	resource_marker	boot		boot marker 409A0DF2				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:409A0E52:boot	409A0E52	resource_marker	boot		boot marker 409A0E52				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:409A440E:STR	409A440E	resource_marker	STR		STR  marker 409A440E				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:409A45EA:STR	409A45EA	resource_marker	STR		STR  marker 409A45EA				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:409A45F0:STR	409A45F0	resource_marker	STR		STR  marker 409A45F0				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:409A465A:STR	409A465A	resource_marker	STR		STR  marker 409A465A				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:409A4660:STR	409A4660	resource_marker	STR		STR  marker 409A4660				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:409A46CA:STR	409A46CA	resource_marker	STR		STR  marker 409A46CA				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:409A46D0:STR	409A46D0	resource_marker	STR		STR  marker 409A46D0				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:409A473A:STR	409A473A	resource_marker	STR		STR  marker 409A473A				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:409A4740:STR	409A4740	resource_marker	STR		STR  marker 409A4740				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:409A47AA:STR	409A47AA	resource_marker	STR		STR  marker 409A47AA				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:409A47B0:STR	409A47B0	resource_marker	STR		STR  marker 409A47B0				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:409A481A:STR	409A481A	resource_marker	STR		STR  marker 409A481A				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:409A4820:STR	409A4820	resource_marker	STR		STR  marker 409A4820				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:409A488A:STR	409A488A	resource_marker	STR		STR  marker 409A488A				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:409A4890:STR	409A4890	resource_marker	STR		STR  marker 409A4890				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:409A4D96:STR#	409A4D96	resource_marker	STR#		STR# marker 409A4D96				rom_structure_analysis
